5.44E-27	3.46E-11	3.74E-11
3.65E-10	5.26E-03	0.00569
1.05E-04	2.01E+00	2.16957
0.04731		34.0133		36.78783
1.68117		173.381		187.52403
17.0777		487.061		526.79153
85.4061		959.072		1037.30541
271.572		1487.54		1608.8816
620.613		1956.25		2115.8252
1085.58		2299.84		2487.44252
1528.56		2506.28		2710.72224
1831.53		2592.3		2803.75907
1969.42		2585.52		2796.42601
1979.75		2514.69		2719.81827
1912.15		2404.3		2600.42353
1805.13		2272.69		2458.07784
1682.82		2132.39		2306.33329
1558.48		1991.41		2153.85327
1438.61		1854.53		2005.8077
1325.84		1724.34		1864.99784
1220.84		1602		1732.67833
1123.38		1487.79		1609.15199
1032.9		1381.52		1494.21333
948.836		1282.72		1387.35402
870.704		1190.85		1287.99
798.147		1105.35		1195.5156
730.902		1025.72		1109.39002
668.771		951.512		1029.12873
611.574		882.349		954.32396
559.132		817.91		884.62855
511.246		757.924		819.74937
467.688		702.148		759.42361
428.21		650.372		703.42414
392.538		602.395		651.53356
360.391		558.021		603.53988
331.478		517.063		559.24086
305.514		479.33		518.4299
282.22		444.633		480.9026
261.331		412.779		446.4502
242.6		383.579		414.8683
225.796		356.844		385.95247
210.709		332.39		359.50371
197.149		310.038		335.32842
184.944		289.617		313.24163
173.939		270.963		293.06599
163.999		253.923		274.636
155.002		238.353		257.79593
146.84		224.12		242.40191
139.42		211.1		228.31985
132.656		199.181		215.42859
126.477		188.257		203.6135
120.817		178.236		192.77507
115.62		169.031		182.81919
110.836		160.565		173.66261
106.422		152.768		165.22959
102.338		145.577		157.45201
98.5512		138.935		150.2682
95.0313		132.791		143.62303
91.752		127.098		137.46564
88.6903		121.816		131.75277
85.8254		116.907		126.44334
83.1393		112.337		121.50055
80.6157		108.077		116.89306
78.2403		104.1		112.59164
76.0004		100.38		108.5682
73.8847		96.8972		104.8013
71.8829		93.6305		101.26813
69.9859		90.5624		97.94976
68.1857		87.6768		94.82877
66.4748		84.9591		91.88938
64.8468		82.3963		89.11753
63.2955		79.9762		86.50002
61.8157		77.6881		84.02527
60.4025		75.5222		81.6827
59.0513		73.4694		79.46245
57.7583		71.5218		77.35598
56.5196		69.6717		75.35496
55.3319		67.9125		73.45226
54.1922		66.2379		71.64106
53.0975		64.6423		69.9153
52.0454		63.1205		68.26936
51.0332		61.6677		66.69806
50.059		60.2794		65.19651
49.1205		58.9517		63.76051
48.2159		57.6808		62.38594
47.3435		56.4634		61.06923
46.5015		55.2962		59.80682
45.6884		54.1762		58.59546
44.9028		53.1008		57.43234
44.1434		52.0675		56.31475
43.409		51.0739		55.2401
42.6982		50.1178		54.20601
42.0101		49.1973		53.21042
41.3436		48.3104		52.25118
40.6978		47.4553		51.32632
40.0717		46.6305		50.43424
39.4644		45.8344		49.5732
38.8753		45.0656		48.74169
38.3034		44.3227		47.93819
37.748		43.6045		46.98543
33.0226		35.6501		40.29569
29.3028		31.5956		33.51791
26.3536		28.3987		29.83621
23.9614		25.8155		26.91461
21.9832		23.6852		24.54367
20.3201		21.8976		22.58215
18.9021		20.3752		20.93237
17.6782		19.0622		19.52481
16.6104		17.9172		18.30876
15.6701		16.9091		17.24682
14.8353		16.0141		16.31083
14.0888		15.2135		15.47879
13.4169		14.4928		14.73376
12.8086		13.8401		14.06243
12.2552		13.2461		13.45391
11.7492		12.7028		12.89951
11.2848		12.2038		12.39208
10.8568		11.7439		11.92568
10.4611		11.3184		11.49525
10.0939		10.9235		11.09681
9.75236		10.556		10.72674
9.4337		10.213		10.38202
9.13568		9.89205		10.06006
8.85632		9.59112		9.75863
8.59388		9.30832		9.47575
8.34684		9.04203		9.20974
8.11386		8.79082		8.95907
7.89376		8.55342		8.72245
7.68547		8.32869		8.49869
7.48806		8.11565		8.28674
7.30067		7.91338		8.08568
7.12257		7.72107		7.89468
6.95306		7.53801		7.71299
6.79153		7.36352		7.53991
6.63742		7.19701		7.37487
6.49023		7.03795		7.21728
6.34949		6.88583		7.06666
6.21479		6.74021		6.92255
6.08574		6.60068		6.78451
5.96199		6.46685		6.65219
5.84322		6.33838		6.52522
5.72912		6.21496		6.40327
5.61944		6.09629		6.28607
5.5139		5.98209		6.1122
5.41229		5.87213		6.00473
5.31438		5.76616		5.90121
5.21997		5.66397		5.8014
5.12888		5.56535		5.70512
5.04094		5.47014		5.61216
4.95598		5.37814		5.52239
4.87385		5.2892		5.43561
4.79441		5.20317		5.35169
4.71754		5.11991		5.27049
4.64311		5.03928		5.19187
4.571		4.96117		5.1157
4.5011		4.88544		5.0419
4.43333		4.81201		4.97033
4.36757		4.74076		4.9009
4.30374		4.67159		4.83351
4.24176		4.60442		4.76808
4.18155		4.53917		4.70452
4.12303		4.47574		4.64275
4.06613		4.41407		4.5827
4.01079		4.35408		4.52429
3.95694		4.2957		4.46746
3.90452		4.23888		4.41214
3.85347		4.18354		4.35827
3.80375		4.12963		4.30581
3.7553		4.0771		4.25469
3.70807		4.02588		4.20486
3.66202		3.97595		4.15628
3.6171		3.92724		4.10889
3.57328		3.87971		4.06266
3.5305		3.83332		4.01753
3.48874		3.78803		3.97349
3.44796		3.74381		3.93047
3.40813		3.7006		3.88845
3.36921		3.65838		3.8474
3.33117		3.61712		3.80728
3.29398		3.57678		3.76805
3.25761		3.53733		3.7297
3.22204		3.49874		3.6922
3.18724		3.46099		3.65549
3.15318		3.42404		3.61959
3.11985		3.38788		3.58443
3.08722		3.35247		3.55002
3.05526		3.3178		3.51632
3.02396		3.28384		3.48332
2.99329		3.25057		3.45098
2.96324		3.21797		3.4193
